reg,cl_age90,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
3,69,2021-01-08,2,1,,,,218,19
2,29,2021-04-09,1,0,1.0,0.0,0.0,16,0
1,59,2021-07-20,12,1,8.0,3.0,0.0,318,24
93,69,2021-01-10,383,100,,,,3522,289
32,90,2020-03-23,48,0,,,,10,11
1,59,2020-12-18,9,2,,,,135,10
84,79,2021-06-27,236,33,72.0,124.0,7.0,10853,2579
11,9,2021-01-14,7,0,,,,635,3
53,0,2021-01-05,545,41,,,,3417,745
93,19,2021-03-03,4,0,,,,291,0
4,39,2021-07-06,15,3,11.0,1.0,0.0,207,5
28,39,2021-01-31,16,5,,,,273,4
75,9,2021-05-08,5,0,5.0,0.0,0.0,96,0
27,69,2021-06-24,74,13,25.0,28.0,8.0,3235,433
53,59,2021-02-15,51,6,,,,500,20
94,90,2021-03-28,25,0,8.0,17.0,0.0,48,33
84,9,2020-03-23,3,1,,,,3,0
24,39,2021-03-07,16,2,,,,319,2
2,0,2021-05-25,64,13,43.0,8.0,0.0,758,94
6,79,2021-05-26,2,1,1.0,0.0,0.0,129,31
84,59,2021-05-12,321,93,178.0,46.0,4.0,5853,266
93,9,2020-12-22,3,0,,,,162,0
3,19,2020-12-13,0,0,,,,155,0
94,89,2021-06-23,4,0,1.0,3.0,0.0,190,80
94,49,2021-03-31,0,0,0.0,0.0,0.0,49,2
52,0,2020-12-06,912,88,,,,5166,1054
93,19,2021-08-03,6,0,6.0,0.0,0.0,440,0
84,90,2020-12-30,718,3,,,,3022,1664
4,29,2020-12-20,6,0,,,,61,1
76,29,2021-01-21,9,1,,,,341,2
32,49,2021-02-25,88,21,,,,1649,39
3,29,2021-04-10,2,0,1.0,0.0,1.0,463,3
52,69,2021-07-11,33,8,11.0,14.0,0.0,2070,242
27,90,2021-02-17,241,2,,,,1647,901
52,0,2021-06-22,238,39,91.0,106.0,2.0,13183,2720
94,29,2021-04-16,0,0,0.0,0.0,0.0,21,0
44,29,2021-01-01,19,3,,,,555,2
93,39,2021-06-23,15,1,7.0,6.0,1.0,2138,13
27,19,2021-06-16,2,1,0.0,1.0,0.0,198,0
76,89,2021-01-12,461,28,,,,2355,915
44,19,2021-04-19,4,0,1.0,0.0,3.0,217,0
28,79,2021-01-15,283,38,,,,1387,354
53,59,2020-03-24,18,10,,,,15,0
94,90,2020-03-27,10,0,,,,4,2
27,79,2020-12-03,433,98,,,,1699,401
84,29,2021-01-19,39,6,,,,896,6
75,0,2021-05-17,1131,212,602.0,311.0,6.0,15904,3675
44,0,2021-01-04,3042,301,,,,21491,6134
28,59,2021-03-06,83,21,,,,994,67
1,19,2021-08-05,3,0,3.0,0.0,0.0,16,0
53,39,2021-01-21,7,0,,,,174,2
32,69,2021-01-16,341,80,,,,3329,551
3,79,2021-01-01,3,1,,,,119,17
32,69,2021-06-19,264,76,98.0,87.0,3.0,6828,1128
24,49,2020-12-06,24,5,,,,340,7
84,29,2021-02-08,15,1,,,,981,9
93,29,2020-12-24,12,2,,,,760,2
52,0,2021-05-28,492,83,248.0,159.0,2.0,12728,2669
11,49,2021-07-29,110,29,56.0,20.0,5.0,10043,346
52,9,2020-12-11,0,0,,,,39,0
11,79,2021-07-09,350,59,80.0,200.0,11.0,17661,4906
52,79,2021-07-22,29,2,11.0,15.0,1.0,2590,520
27,19,2021-02-20,4,1,,,,129,0
6,69,2020-12-13,0,0,,,,85,12
11,90,2020-12-30,753,6,,,,4479,2415
24,9,2021-03-24,1,1,0.0,0.0,0.0,56,0
28,9,2021-01-31,1,0,,,,39,0
6,69,2021-01-02,0,0,,,,86,12
27,9,2021-07-30,0,0,0.0,0.0,0.0,95,0
84,90,2021-05-01,350,1,221.0,128.0,0.0,4940,2662
44,19,2021-06-16,3,0,2.0,0.0,1.0,249,0
6,9,2021-07-10,0,0,0.0,0.0,0.0,31,0
53,79,2021-08-01,70,5,33.0,20.0,12.0,1560,318
28,79,2021-06-01,224,40,91.0,93.0,0.0,2868,719
28,19,2021-07-16,3,0,3.0,0.0,0.0,91,0
11,29,2021-03-31,115,15,85.0,5.0,10.0,2698,27
28,0,2021-02-11,1271,126,,,,7887,2064
75,89,2021-04-18,371,15,228.0,128.0,0.0,3415,1396
24,89,2021-01-13,304,16,,,,1471,602
6,69,2020-03-20,0,0,,,,0,0
24,89,2021-04-17,303,10,156.0,137.0,0.0,2376,961
76,29,2021-04-27,15,2,12.0,0.0,1.0,518,3
84,89,2021-07-13,121,0,50.0,70.0,1.0,11756,4795
27,89,2021-05-12,291,9,183.0,98.0,1.0,4620,1952
11,69,2021-03-29,1354,481,667.0,188.0,18.0,13262,2229
6,9,2021-03-19,0,0,0.0,0.0,0.0,27,0
27,19,2021-08-04,2,0,2.0,0.0,0.0,205,0
32,29,2021-02-16,19,1,,,,655,3
11,29,2021-03-13,81,15,,,,2441,24
94,90,2021-07-28,3,0,0.0,3.0,0.0,83,43
44,0,2020-03-27,3290,699,,,,1074,657
2,89,2021-07-21,9,2,7.0,0.0,0.0,91,32
